"","Year","Region","sum_geom_dens","scale_sum_geom_dens","spcode"
"77",1986,"NEUS",0.286297686196143,-0.115430964014847,"sum"
"78",1987,"NEUS",0.233356721967834,-0.355684096144765,"sum"
"79",1988,"NEUS",0.271858979063195,-0.180955736054082,"sum"
"80",1989,"NEUS",0.179391952511388,-0.600583392475434,"sum"
"81",1990,"NEUS",0.18742408984742,-0.564132485681265,"sum"
"82",1991,"NEUS",0.108478327664561,-0.922398847265087,"sum"
"83",1992,"NEUS",0.118775110733343,-0.875670677138288,"sum"
"84",1993,"NEUS",0.0974422896136143,-0.972481854756421,"sum"
"85",1994,"NEUS",0.125159288557026,-0.846698429643896,"sum"
"86",1995,"NEUS",0.19392289480637,-0.534640045011773,"sum"
"87",1996,"NEUS",0.129001447148153,-0.829262203290385,"sum"
"88",1997,"NEUS",0.15813583263963,-0.697046489635797,"sum"
"89",1998,"NEUS",0.110765664727926,-0.912018607658183,"sum"
"90",1999,"NEUS",0.174427860269763,-0.623111102852767,"sum"
"91",2000,"NEUS",0.177554638996661,-0.608921365405322,"sum"
"92",2001,"NEUS",0.22956287438432,-0.372901080724643,"sum"
"93",2002,"NEUS",0.272607397625672,-0.177559313144146,"sum"
"94",2003,"NEUS",0.147381970882794,-0.745848943599988,"sum"
